,DATE,TIME,GAZR,GMKN,LKOH,SBRF,VTBR,RTS
157,20210120,140000,22664.0,26690.0,59574.0,28165.0,3906.0,148820.0
158,20210120,150000,22668.0,26713.0,59399.0,28074.0,3902.0,148360.0
159,20210120,160000,22665.0,26638.0,59143.0,28122.0,3894.0,148210.0
160,20210120,170000,22676.0,26726.0,59380.0,28286.0,3900.0,148800.0
161,20210120,180000,22544.0,26699.0,59091.0,28224.0,3894.0,148270.0
162,20210120,190000,22599.0,26778.0,59017.0,28115.0,3903.0,148690.0
163,20210120,200000,22542.0,26610.0,58901.0,28077.0,3902.0,148410.0
164,20210120,210000,22557.0,26620.0,58965.0,28090.0,3902.0,148500.0
165,20210120,220000,22566.0,26653.0,58997.0,28130.0,3902.0,148650.0
166,20210120,230000,22576.0,26716.0,59062.0,28158.0,3907.0,148760.0
167,20210121,0,22590.0,26728.0,59000.0,28185.0,3909.0,148900.0
168,20210121,110000,22503.0,26883.0,59228.0,28185.0,3912.0,149140.0
169,20210121,120000,22012.0,26287.0,57970.0,27621.0,3843.0,145990.0
170,20210121,130000,22120.0,26355.0,58113.0,27654.0,3847.0,146290.0
171,20210121,140000,22172.0,26590.0,58037.0,27668.0,3846.0,146400.0
172,20210121,150000,22152.0,26520.0,57655.0,27588.0,3840.0,145790.0
173,20210121,160000,22097.0,26598.0,57940.0,27654.0,3852.0,146050.0
174,20210121,170000,22068.0,26683.0,57808.0,27600.0,3853.0,146120.0
175,20210121,180000,21974.0,26504.0,57933.0,27497.0,3834.0,145710.0
176,20210121,190000,21977.0,26598.0,58024.0,27652.0,3821.0,146280.0
177,20210121,200000,21930.0,26720.0,58085.0,27650.0,3817.0,145530.0
178,20210121,210000,21933.0,26686.0,58183.0,27610.0,3818.0,145480.0
179,20210121,220000,21892.0,26654.0,58114.0,27631.0,3812.0,145630.0
180,20210121,230000,21912.0,26715.0,58152.0,27650.0,3813.0,145830.0
181,20210122,0,21876.0,26719.0,58074.0,27575.0,3814.0,145750.0
182,20210122,110000,21342.0,26368.0,57347.0,27353.0,3772.0,143140.0
183,20210122,120000,21275.0,26246.0,57070.0,27048.0,3763.0,142810.0
184,20210122,130000,21329.0,26258.0,57283.0,27010.0,3749.0,142590.0
185,20210122,140000,21333.0,26092.0,57358.0,26943.0,3763.0,141780.0
186,20210122,150000,21328.0,26105.0,57581.0,26924.0,3766.0,141820.0
187,20210122,160000,21328.0,26056.0,57550.0,26960.0,3746.0,141660.0
188,20210122,170000,21332.0,26000.0,57594.0,26873.0,3750.0,141770.0
189,20210122,180000,21546.0,26284.0,57993.0,26981.0,3766.0,142960.0
190,20210122,190000,21588.0,26325.0,57738.0,26950.0,3772.0,142210.0
191,20210122,200000,21663.0,26395.0,57781.0,27008.0,3773.0,142220.0
192,20210122,210000,21670.0,26335.0,57760.0,27000.0,3767.0,142030.0
193,20210122,220000,21665.0,26408.0,57863.0,26990.0,3770.0,141960.0
194,20210122,230000,21674.0,26355.0,57776.0,26994.0,3772.0,142060.0
195,20210123,0,21676.0,26383.0,57761.0,26950.0,3768.0,141900.0
196,20210125,110000,21967.0,26502.0,57999.0,27404.0,3797.0,144160.0
197,20210125,120000,21836.0,26435.0,57620.0,27106.0,3789.0,142640.0
198,20210125,130000,21848.0,26418.0,57800.0,27046.0,3785.0,142530.0
199,20210125,140000,21937.0,26474.0,57770.0,27111.0,3798.0,143340.0
200,20210125,150000,21990.0,26319.0,57427.0,27060.0,3797.0,142790.0
201,20210125,160000,21900.0,26118.0,57753.0,26868.0,3787.0,142300.0
202,20210125,170000,21681.0,26030.0,57380.0,26440.0,3777.0,141540.0
203,20210125,180000,21699.0,25960.0,57317.0,26532.0,3771.0,141080.0
204,20210125,190000,21853.0,26024.0,57572.0,26656.0,3792.0,141430.0
205,20210125,200000,21819.0,26040.0,57320.0,26580.0,3787.0,141340.0
206,20210125,210000,21813.0,26067.0,57323.0,26592.0,3786.0,141510.0
207,20210125,220000,21910.0,26092.0,57500.0,26636.0,3788.0,141810.0
208,20210125,230000,21978.0,26106.0,57594.0,26670.0,3791.0,141820.0
209,20210126,0,22009.0,26155.0,57621.0,26683.0,3795.0,142140.0
210,20210126,110000,21767.0,25900.0,56819.0,26598.0,3774.0,140480.0
211,20210126,120000,22050.0,26039.0,56856.0,26918.0,3794.0,141820.0
212,20210126,130000,22098.0,25924.0,56824.0,26892.0,3792.0,141740.0
213,20210126,140000,22041.0,25863.0,56579.0,26804.0,3788.0,141360.0
214,20210126,150000,22064.0,25925.0,56561.0,27013.0,3792.0,142230.0
215,20210126,160000,22036.0,25916.0,56457.0,26968.0,3794.0,142430.0
216,20210126,170000,22025.0,25906.0,56525.0,26968.0,3790.0,142180.0
217,20210126,180000,21943.0,25908.0,56092.0,26979.0,3784.0,141850.0
218,20210126,190000,21979.0,25954.0,56207.0,26960.0,3791.0,142200.0
219,20210126,200000,21949.0,25966.0,56300.0,26939.0,3786.0,141570.0
